Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
9/23/2024 0:00,N64527,Replacement,Spark Plug,Copper spark plug gasket
9/23/2024 0:00,N64527,Replacement,Tire,Air Hawk 6ply tire
9/23/2024 0:00,N64527,Service,Oil Analysis Kit,Metal check oil analysis kit
9/23/2024 0:00,N64527,Replacement,Oil Filter,Tempest 110 oil iflter
9/23/2024 0:00,N64527,Replacement,Oil,Phillips 20W-50 oil
9/23/2024 0:00,N64527,Replacement,Carbon Monoxide Detector,Carbon monoxide detector
9/23/2024 0:00,N64527,Replacement,Gasket,Superior gasket
10/8/2024 0:00,N433SP,Replacement,Cowl Mount,Cowl mount
10/8/2024 0:00,N433SP,Replacement,Spark Plug,Spark plugs
10/8/2024 0:00,N433SP,Service,Oil Analysis Kit,Metal check oil analysis kit
10/8/2024 0:00,N433SP,Replacement,Oil Filter,Tempest oil filter
10/8/2024 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
10/30/2024 0:00,N9863L,Replacement,Instrument Filter,Instrument filter
10/30/2024 0:00,N9863L,Replacement,Air Filter,Air filter
10/30/2024 0:00,N9863L,Replacement,Bulb,Bulb
10/30/2024 0:00,N9863L,Replacement,Miscellaneous,Miscellaneous hardware
10/30/2024 0:00,N9863L,Replacement,Oil Filter,Tempest oil filter
10/30/2024 0:00,N9863L,Replacement,Oil,Phillips 20W-50 oil
10/30/2024 0:00,N9863L,Replacement,Seal,2ft Red baffle seal
10/30/2024 0:00,N9863L,Service,Oil Analysis Kit,Metal check oil analysis kit
10/31/2024 0:00,N433SP,Replacement,Bulb,Bulb
11/7/2024 0:00,N8184G,Replacement,Oil Filter,Parts Tempest oil filter
11/7/2024 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
11/7/2024 0:00,N8184G,Replacement,Oil,Parts Aero Shell 15W-50 oil
11/7/2024 0:00,N8184G,Replacement,Air Filter,Parts Air filter
11/7/2024 0:00,N8184G,Replacement,Carbon Monoxide Detector,Parts Carbon monoxide detector
11/7/2024 0:00,N8184G,Replacement,Duct,Parts Duct
11/7/2024 0:00,N8184G,Replacement,Spark Plug,Parts Spark plug
11/7/2024 0:00,N8184G,Replacement,Sealant,Parts RTV Sealant
11/7/2024 0:00,N8184G,Replacement,Instrument Filter,Parts Instrument filter
11/7/2024 0:00,N8184G,Service,Propeller,Parts Propeller inspection
11/7/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
11/8/2024 0:00,N433SP,Replacement,Spark Plug,Spark plug gasket
11/8/2024 0:00,N433SP,Service,Oil Analysis Kit,Metal check oil analysis kit
11/8/2024 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
11/8/2024 0:00,N433SP,Replacement,Oil Filter,Tempest 110 oil filter
11/18/2024 0:00,N9863L,Replacement,Oil,Parts Phillips 20W-50
11/18/2024 0:00,N9863L,Replacement,Oil Filter,Parts Tempest 110 oil filter
11/18/2024 0:00,N9863L,Service,Oil Analysis Kit,Parts Metal check oil analysis
11/18/2024 0:00,N9863L,Replacement,Carbon Monoxide Detector,Parts Carbon monoxide detector
11/18/2024 0:00,N9863L,Replacement,Miscellaneous,Parts Miscellaneous hardware
11/18/2024 0:00,N433SP,Replacement,Bulb,Parts Bulb
11/21/2024 0:00,N64527,Replacement,Camloc Stud,Parts Camloc stud
11/21/2024 0:00,N64527,Replacement,Spark Plug,Parts Spark plug
11/21/2024 0:00,N64527,Replacement,Brake Lining,Parts Brake linings and rivets
11/21/2024 0:00,N64527,Replacement,Cotter Pin,Parts Cotter pin
11/21/2024 0:00,N8184G,Replacement,Cotter Pin,Parts Cotter pin
11/21/2024 0:00,N8184G,Replacement,Tire,Parts Air Hawk tire
11/21/2024 0:00,N8184G,Replacement,Inner Tube,Parts Leak guard inner tube
11/21/2024 0:00,N64527,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
11/21/2024 0:00,N64527,Replacement,Oil,Parts Hydraulic fluid Quart
11/21/2024 0:00,N8184G,Replacement,Oil,Parts Hydraulic fluid Quart
11/21/2024 0:00,N64527,Replacement,Oil,Parts Phillips 20W-50 oil
11/21/2024 0:00,N8184G,Replacement,Brake Lining,Parts Brake linings and rivets
11/21/2024 0:00,N8184G,Replacement,Spark Plug,Parts Spark plug
11/21/2024 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
11/21/2024 0:00,N8184G,Replacement,Oil Filter,Parts Tempest 110 oil filter
11/21/2024 0:00,N8184G,Replacement,Oil,Parts Phillips 20W-50 oil
11/21/2024 0:00,N64527,Replacement,Oil Filter,Parts Tempest 110 oil filter
11/21/2024 0:00,N8184G,Replacement,Camloc Stud,Parts Camloc stud
11/27/2024 0:00,N9863L,Replacement,Bulb,Parts Bulb
12/9/2024 0:00,N64527,Replacement,_UNMAPPED_,MIL-H-5606 gallon
12/9/2024 0:00,N64527,Replacement,Seal,Nose strut seal kit
12/9/2024 0:00,N64527,Replacement,Cotter Pin,Cotter pins
12/16/2024 0:00,N433SP,Replacement,Oil,Parts Phillips 20w-50 oil
12/16/2024 0:00,N433SP,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
12/16/2024 0:00,N433SP,Replacement,Seal,Parts Grease seal
12/16/2024 0:00,N433SP,Replacement,Oil Filter,Parts Tempest 110 oil filter
12/16/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts O-ring
12/16/2024 0:00,N433SP,Replacement,Miscellaneous,Parts Miscellaneous hardware
12/16/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts Bonding strap
12/16/2024 0:00,N433SP,Replacement,Duct,"Parts 27"" Air duct"
12/16/2024 0:00,N433SP,Replacement,_UNMAPPED_,Parts Brake discs
12/23/2024 0:00,N8184G,Replacement,Hydraulic Fluid,Parts Hydraulic fluid gallon
12/23/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
12/23/2024 0:00,N8184G,Replacement,Strut Component,Parts Cessna nose strut kit
12/23/2024 0:00,N8184G,Replacement,_UNMAPPED_,Parts Instrument shock panel mount
12/24/2024 0:00,N64527,Replacement,Hydraulic Fluid,Parts Hydraulic fluid gallon
12/24/2024 0:00,N64527,Service,Strut Component,Parts Cessna nose strut rebuild kit
12/26/2024 0:00,N433SP,Replacement,Oil Filter,Parts Tempest oil filter
12/26/2024 0:00,N433SP,Replacement,Oil,Parts Phillips 20W-50
12/26/2024 0:00,N433SP,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
12/26/2024 0:00,N433SP,Replacement,Miscellaneous,Parts Miscellaneous hardware
12/30/2024 0:00,N433SP,Replacement,Alternator,Alternator
12/30/2024 0:00,N433SP,Replacement,Core Charge,Alternator core charge (Will be returned
1/2/2025 0:00,N64527,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
1/2/2025 0:00,N64527,Replacement,Oil Filter,Parts Tempest oil filter
1/2/2025 0:00,N64527,Replacement,Oil,Parts Phillips 20W-50 oil
1/2/2025 0:00,N64527,Replacement,Spark Plug,Parts Spark plug gasket
1/2/2025 0:00,N64527,Replacement,Spark Plug,Parts Tempest spark plug
1/7/2025 0:00,N8184G,Replacement,Oil,Parts Aeroshell 15W-50 oil
